"variable","reason"
"B160","High missing (>95%) - race-specific"
"B161","High missing (>95%) - race-specific"
"B162","High missing (>95%) - race-specific"
"B163","High missing (>95%) - race-specific"
"B164","High missing (>95%) - race-specific"
"B165","High missing (>95%) - race-specific"
"B166","High missing (>95%) - race-specific"
"B167","High missing (>95%) - race-specific"
"B168","High missing (>95%) - race-specific"
"B169","High missing (>95%) - race-specific"
"B170","High missing (>95%) - race-specific"
"B177","High missing (>95%) - race-specific"
"B178","High missing (>95%) - race-specific"
"B179","High missing (>95%) - race-specific"
"B180","High missing (>95%) - race-specific"
"B181_1","High missing (>95%) - race-specific"
"B181_2","High missing (>95%) - race-specific"
"B181_3","High missing (>95%) - race-specific"
"B182","High missing (>95%) - race-specific"
"B183","High missing (>95%) - race-specific"
"B184","High missing (>95%) - race-specific"
"B185","High missing (>95%) - race-specific"
"B186","High missing (>95%) - race-specific"
"B187","High missing (>95%) - race-specific"
"A188","High missing (>95%) - race-specific"
"A189","High missing (>95%) - race-specific"
"A192","High missing (>95%) - race-specific"
"A195_1","High missing (>95%) - race-specific"
"A195_2","High missing (>95%) - race-specific"
"A195_3","High missing (>95%) - race-specific"
"BW305","High missing (>95%) - race-specific"
"BW306","High missing (>95%) - race-specific"
"BW307","High missing (>95%) - race-specific"
"BW308","High missing (>95%) - race-specific"
"BW309","High missing (>95%) - race-specific"
"BW310","High missing (>95%) - race-specific"
"B311","High missing (>95%) - race-specific"
"B312","High missing (>95%) - race-specific"
"B313","High missing (>95%) - race-specific"
"B314","High missing (>95%) - race-specific"
"B315","High missing (>95%) - race-specific"
"B316","High missing (>95%) - race-specific"
"A370","High missing (>95%) - race-specific"
"A371","High missing (>95%) - race-specific"
"A372","High missing (>95%) - race-specific"
"SPLITL18L19","Split indicator"
"SPLITC38","Split indicator"
"SPLITC106","Split indicator"
"SPLITC141","Split indicator"
"SPLITC142","Split indicator"
"SPLITA188","Split indicator"
"SPLITL197","Split indicator"
"SPLITL199","Split indicator"
"SPLITL210L211","Split indicator"
"SPLITL216","Split indicator"
"SPLITC221","Split indicator"
"SPLITC242","Split indicator"
"SPLITL266","Split indicator"
"SPLITL267","Split indicator"
"SPLITC274","Split indicator"
"SPLITC275","Split indicator"
"SPLITL291L292","Split indicator"
"SPLITL295L296","Split indicator"
"SPLITL297L298","Split indicator"
"SPLITBW304","Split indicator"
"SPLITC337","Split indicator"
"SPLITC350C360","Split indicator"
"SPLITC387","Split indicator"
"FLAG_DESCRIPTION","Other metadata"
"ETHNIC_QUOTA","Other metadata"
"RESPONSE_MINUTES","Other metadata"
